bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,instructions__001,instructions__002,instructions__003,instructions__004,instructions__005,instructions__006,instructions__007,,,,,,,,,,,
chest,body weight,https://i.ibb.co/F77pmQx/1.gif,3294,archer push up,pectorals,triceps,shoulders,core,Start in a push-up position with your hands slightly wider than shoulder-width apart.,Extend one arm straight out to the side, parallel to the ground.,Lower your body by bending your elbows, keeping your back straight and core engaged.,Push back up to the starting position.,Repeat on the other side, extending the opposite arm out to the side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,
chest,leverage machine,https://i.ibb.co/716Bt2P/2.gif,9,assisted chest dip (kneeling),pectorals,triceps,shoulders,,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with your palms facing down and your arms fully extended.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,Pause for a moment, then push yourself back up to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
chest,assisted,https://i.ibb.co/YBrdpNH/3.gif,1716,assisted seated pectoralis major stretch with stability ball,pectorals,shoulders,triceps,,Sit on a stability ball with your feet flat on the ground and your back straight.,Hold a stability ball with both hands and extend your arms straight out in front of you.,Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles.,Hold the stretch for a few seconds, then slowly return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,
chest,leverage machine,https://i.ibb.co/m5czXNp/4.gif,2364,assisted wide-grip chest dip (kneeling),pectorals,triceps,shoulders,,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with a wide grip and keep your elbows slightly bent.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,Push yourself back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,,,,
chest,band,https://i.ibb.co/VWgrftx/5.gif,1254,band bench press,pectorals,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,Grasp the band handles with an overhand grip, slightly wider than shoulder-width apart.,Extend your arms fully, pushing the bands away from your chest.,Slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle.,Repeat for the desired number of repetitions.,,,,,,,,,,
chest,band,https://i.ibb.co/JdPKhBD/6.gif,989,band one arm twisting chest press,pectorals,shoulders,triceps,,Attach the band to a sturdy anchor point at chest height.,Stand with your side facing the anchor point and grab the band with one hand.,Step away from the anchor point to create tension in the band.,Position your feet shoulder-width apart and slightly bend your knees.,Bring your hand holding the band across your body, towards the opposite shoulder.,While maintaining tension in the band, push your hand forward and away from your body, extending your arm.,Slowly return to the starting position and repeat for the desired number of repetitions.,Switch sides and repeat the exercise with the other hand.,,,,,,,
chest,barbell,https://i.ibb.co/5n9wsDC/7.gif,25,barbell bench press,pectorals,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.,Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.,Lower the barbell slowly towards your chest, keeping your elbows tucked in.,Pause for a moment when the barbell touches your chest.,Push the barbell back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,
chest,barbell,https://i.ibb.co/cybt4G9/8.gif,33,barbell decline bench press,pectorals,triceps,shoulders,,Lie on a decline bench with your feet secured and your head lower than your hips.,Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.,Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.,Pause for a moment at the bottom, then push the barbell back up to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,
chest,barbell,https://i.ibb.co/VH3xVsc/9.gif,1255,barbell decline pullover,pectorals,triceps,shoulders,,Lie down on a decline bench with your head lower than your hips and your feet secured.,Hold the barbell with a pronated grip (palms facing away from you) and your hands slightly wider than shoulder-width apart.,Extend your arms above your chest, keeping a slight bend in your elbows.,Lower the barbell in an arc motion behind your head, feeling a stretch in your chest and shoulders.,Pause for a moment, then return the barbell to the starting position by reversing the motion.,Repeat for the desired number of repetitions.,,,,,,,,,
chest,barbell,https://i.ibb.co/ftsGmXW/10.gif,36,barbell decline wide-grip press,pectorals,triceps,shoulders,,Lie on a decline bench with your feet secured and your head lower than your hips.,Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.,Lower the barbell to your chest, keeping your elbows out to the sides.,Push the barbell back up to the starting position, fully extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,assisted,https://i.ibb.co/Z2bsWV6/1.gif,18,assisted standing triceps extension (with towel),triceps,shoulders,,Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.,Keep your elbows close to your ears and your upper arms stationary.,Slowly extend your forearms upward, squeezing your triceps at the top.,Pause for a moment, then slowly lower the towel back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
upper arms,leverage machine,https://i.ibb.co/PwDY6G9/2.gif,19,assisted triceps dip (kneeling),triceps,chest,shoulders,Adjust the machine to your desired weight and height.,Kneel down on the pad facing the machine, with your hands gripping the handles.,Lower your body by bending your elbows, keeping your back straight and close to the machine.,Pause for a moment at the bottom, then push yourself back up to the starting position.,,,,,,,,,,,,
upper arms,band,https://i.ibb.co/2WTzjrq/3.gif,968,band alternating biceps curl,biceps,forearms,,Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up.,Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top.,Lower the arm back down to the starting position and repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,,,,,
upper arms,band,https://i.ibb.co/c39qwVk/4.gif,975,band close-grip push-up,triceps,chest,shoulders,Place a band around your upper arms, just above the elbows.,Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels.,Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides.,Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
upper arms,band,https://i.ibb.co/dW4QxjY/5.gif,976,band concentration curl,biceps,forearms,,Sit on a bench or chair with your legs spread apart and your feet flat on the ground.,Hold one end of the band in your hand and step on the other end with your foot on the same side.,Lean forward slightly and rest your elbow on the inside of your thigh, just above the knee.,With your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary.,Pause for a moment at the top, then slowly lower your hand back down to the starting position.,Repeat for the desired number of repetitions, then switch sides.,,,,,,,,
upper arms,band,https://i.ibb.co/s9sN5cj/6.gif,986,band one arm overhead biceps curl,biceps,forearms,shoulders,Stand with your feet shoulder-width apart and place one end of the band under your foot.,Hold the other end of the band with your arm fully extended overhead, palm facing forward.,Keeping your upper arm stationary, curl your forearm towards your shoulder, squeezing your biceps.,Pause for a moment at the top, then slowly lower your forearm back to the starting position.,Repeat for the desired number of repetitions, then switch arms.,,,,,,,,,
upper arms,band,https://i.ibb.co/9NXHgY5/7.gif,998,band side triceps extension,triceps,shoulders,,Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down.,Extend your arms straight out to the sides, keeping them parallel to the ground.,Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still.,Pause for a moment, then slowly extend your arms back out to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://i.ibb.co/4g3cXsr/8.gif,23,barbell alternate biceps curl,biceps,forearms,,Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.,Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.,Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale as you slowly begin to lower the barbells back to the starting position.,Repeat for the desired number of repetitions, alternating arms.,,,,,,,,,,,
upper arms,barbell,https://i.ibb.co/72kcnWL/9.gif,2407,barbell biceps curl (with arm blaster),biceps,forearms,,Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.,Place your upper arms against the arm blaster, keeping your elbows close to your torso.,Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.,Continue to raise the barbell until your biceps are fully contracted and the bar is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://i.ibb.co/khRNLW7/10.gif,30,barbell close-grip bench press,triceps,chest,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,Grasp the barbell with a close grip, slightly narrower than shoulder-width apart.,Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body.,Pause for a moment when the barbell touches your chest.,Push the barbell back up to the starting position, fully extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,
lower arms,band,https://i.ibb.co/ZWqdk5d/1.gif,994,band reverse wrist curl,forearms,forearms,,Sit on a bench or chair with your feet flat on the ground.,Hold the band with an overhand grip, palms facing down, and wrap it around your fingers.,Rest your forearms on your thighs, with your wrists hanging off the edge.,Slowly curl your wrists upward, squeezing your forearms.,Pause for a moment at the top, then slowly lower your wrists back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,
lower arms,band,https://i.ibb.co/g3SRzNc/2.gif,1016,band wrist curl,forearms,biceps,triceps,Sit on a bench or chair with your feet flat on the ground.,Hold the band with both hands, palms facing up, and rest your forearms on your thighs.,Slowly curl your wrists upward, squeezing your forearms.,Pause for a moment at the top, then slowly lower your wrists back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/0cYWWx2/3.gif,1411,barbell palms down wrist curl over a bench,forearms,biceps,brachialis,Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, palms facing down.,Hold a barbell with an overhand grip, hands shoulder-width apart.,Lower the barbell towards the ground by flexing your wrists, keeping your forearms stationary.,Pause for a moment at the bottom, then slowly raise the barbell back up by extending your wrists.,Repeat for the desired number of repetitions.,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/RTQNsNC/4.gif,1412,barbell palms up wrist curl over a bench,forearms,biceps,shoulders,Sit on a bench with your feet flat on the ground and hold a barbell with an underhand grip, palms facing up.,Rest your forearms on the bench, allowing your wrists to hang off the edge.,Keeping your forearms stationary, exhale and curl your wrists upwards as far as possible.,Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/SvJz1mX/5.gif,79,barbell revers wrist curl v. 2,forearms,biceps,brachialis,Sit on a bench with your feet flat on the ground and your knees bent.,Hold a barbell with an overhand grip, palms facing down, and your hands shoulder-width apart.,Rest your forearms on your thighs, allowing your wrists to hang off the edge.,Keeping your forearms stationary, exhale and curl your wrists upward as far as possible.,Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,
lower arms,barbell,https://i.ibb.co/V2NKJpK/6.gif,82,barbell reverse wrist curl,forearms,biceps,brachialis,Sit on a bench with your feet flat on the ground and hold a barbell with an overhand grip, palms facing down.,Rest your forearms on your thighs, allowing your wrists to hang off the edge.,Slowly curl your wrists upward, bringing the barbell towards your body.,Pause for a moment at the top, then slowly lower the barbell back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/XD3MtQK/7.gif,104,barbell standing back wrist curl,forearms,biceps,shoulders,Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip.,Rest the barbell on the back of your hands with your palms facing down and your fingers pointing towards your body.,Keeping your upper arms stationary, exhale and curl your wrists upwards as far as possible.,Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/jgCDtSr/8.gif,126,barbell wrist curl,forearms,biceps,brachialis,Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, holding a barbell with an underhand grip.,Allow the barbell to roll down to your fingertips, keeping your wrists straight.,Slowly curl the barbell up towards your forearms by flexing your wrists.,Pause for a moment at the top, then slowly lower the barbell back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,
lower arms,barbell,https://i.ibb.co/F8ywxmg/9.gif,125,barbell wrist curl v. 2,forearms,biceps,brachialis,Sit on a bench with your feet flat on the ground and your knees bent.,Hold a barbell with an underhand grip, palms facing up, and your hands shoulder-width apart.,Rest your forearms on your thighs, allowing your wrists to hang off the edge.,Slowly curl your wrists upward, bringing the barbell towards your forearms.,Pause for a moment at the top, then slowly lower the barbell back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,
lower arms,cable,https://i.ibb.co/VCRHRr4/10.gif,210,cable reverse wrist curl,forearms,forearms,wrists,Attach a cable to a low pulley and sit on a bench facing the cable machine.,Grasp the cable handle with an overhand grip, palms facing down.,Rest your forearms on your thighs, with your wrists hanging off the edge.,Keeping your forearms stationary, exhale and curl your wrists upward as far as possible.,Pause for a moment at the top, then inhale and slowly lower your wrists back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,band,https://i.ibb.co/6ZV4d54/1.gif,977,band front lateral raise,delts,traps,upper back,,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and lift the band up in front of you until your arms are parallel to the ground.,Pause for a moment at the top, then slowly lower the band back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,,
shoulders,band,https://i.ibb.co/F8J2dxT/2.gif,978,band front raise,delts,triceps,upper back,,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and slowly raise them forward until they are parallel to the ground.,Pause for a moment at the top, then slowly lower your arms back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,,
shoulders,band,https://i.ibb.co/6PGKTz2/3.gif,993,band reverse fly,delts,upper back,trapezius,,Attach the band to a stationary object at chest height.,Stand with your feet shoulder-width apart and hold the band with both hands in front of you.,Keep your arms straight and lift them out to the sides until they are parallel to the ground.,Squeeze your shoulder blades together at the top of the movement.,Slowly lower your arms back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
shoulders,band,https://i.ibb.co/ZxCQdhD/4.gif,997,band shoulder press,delts,triceps,upper back,,Stand with your feet shoulder-width apart and place the band under your feet.,Hold the band with your palms facing forward and raise your hands to shoulder height, elbows bent.,Press the band overhead, fully extending your arms.,Pause for a moment at the top, then slowly lower the band back to shoulder height.,Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,band,https://i.ibb.co/QHtxGGd/5.gif,1022,band standing rear delt row,delts,trapezius,rhomboids,biceps,Stand with your feet shoulder-width apart and place the band under your feet.,Hold the band handles with your palms facing each other and your arms extended in front of you.,Bend your knees slightly and hinge forward at the hips, keeping your back straight.,Pull the band towards your chest, squeezing your shoulder blades together.,Pause for a moment at the top, then slowly release the tension and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,band,https://i.ibb.co/FKMqHfx/6.gif,1012,band twisting overhead press,delts,triceps,upper back,,Stand with your feet shoulder-width apart and place the band under your feet.,Hold the band handles at shoulder height with your palms facing forward.,Engage your core and press the band overhead, fully extending your arms.,As you press, twist your torso to one side, keeping your hips stable.,Pause for a moment at the top, then return to the starting position.,Repeat the press and twist on the opposite side.,Continue alternating sides for the desired number of repetitions.,,,,,,,
shoulders,band,https://i.ibb.co/8xmSS99/7.gif,1017,band y-raise,delts,traps,rhomboids,,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing inwards.,Keep your arms straight and lift them up and out to the sides, forming a 'Y' shape with your body.,Squeeze your shoulder blades together at the top of the movement.,Slowly lower your arms back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,
shoulders,barbell,https://i.ibb.co/PFYTnjr/8.gif,41,barbell front raise,delts,biceps,triceps,,Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.,Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level.,Pause for a moment at the top, then slowly lower the barbell back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,,,
shoulders,barbell,https://i.ibb.co/JdcNkvs/9.gif,67,barbell one arm snatch,delts,traps,forearms,core,Stand with your feet shoulder-width apart, toes pointing slightly outwards.,Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart.,Bend your knees and lower your hips into a squat position, keeping your back straight and chest up.,Explosively extend your hips, knees, and ankles, driving the barbell upwards.,As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body.,Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow.,Lower the barbell back down to the starting position in a controlled manner.,Repeat for the desired number of repetitions, then switch arms.
shoulders,barbell,https://i.ibb.co/F6SJsgF/10.gif,75,barbell rear delt raise,delts,traps,rhomboids,,Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.,Bend your knees slightly and hinge forward at the hips, keeping your back straight.,Raise the barbell out to the sides, keeping your arms straight, until they are parallel to the ground.,Pause for a moment at the top, then slowly lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,
cardio,body weight,https://i.ibb.co/bHBHDdq/1.gif,3220,astride jumps (male),cardiovascular system,quadriceps,hamstrings,calves,,,,Stand with your feet shoulder-width apart.,Bend your knees and lower your body into a squat position.,Jump explosively upwards, extending your legs and arms.,While in the air, spread your legs apart and bring your arms out to the sides.,Land softly with your feet shoulder-width apart, bending your knees to absorb the impact.,Repeat for the desired number of repetitions.,,,,,,
cardio,body weight,https://i.ibb.co/D4h7Cfn/2.gif,3672,back and forth step,cardiovascular system,quadriceps,hamstrings,glutes,calves,,,Stand with your feet shoulder-width apart.,Step forward with your right foot, bending your knee and lowering your body into a lunge position.,Push off with your right foot and step back to the starting position.,Repeat the movement with your left foot, alternating legs with each step.,Continue stepping back and forth, maintaining a steady pace.,Repeat for the desired duration or number of repetitions.,,,,,,
cardio,body weight,https://i.ibb.co/SBNnSn6/3I.gif,3360,bear crawl,cardiovascular system,core,shoulders,triceps,,,,Start on all fours with your hands directly under your shoulders and your knees directly under your hips.,Lift your knees slightly off the ground, keeping your back flat and your core engaged.,Move your right hand and left foot forward simultaneously, followed by your left hand and right foot.,Continue crawling forward, alternating your hand and foot movements.,Maintain a steady pace and keep your core tight throughout the exercise.,Continue for the desired distance or time.,,,,,,
cardio,body weight,https://i.ibb.co/3cybWZH/4.gif,1160,burpee,cardiovascular system,quadriceps,hamstrings,calves,shoulders,chest,,Start in a standing position with your feet shoulder-width apart.,Lower your body into a squat position by bending your knees and placing your hands on the floor in front of you.,Kick your feet back into a push-up position.,Perform a push-up, keeping your body in a straight line.,Jump your feet back into the squat position.,Jump up explosively, reaching your arms overhead.,Land softly and immediately lower back into a squat position to begin the next repetition.,,,,,,
cardio,leverage machine,https://i.ibb.co/tBc98qj/5.gif,2331,cycle cross trainer,cardiovascular system,quadriceps,hamstrings,glutes,,,,Adjust the seat height and position yourself on the cycle cross trainer.,Place your feet on the pedals and grip the handlebars.,Start pedaling in a smooth and controlled motion.,Maintain a steady pace and increase the resistance if desired.,Continue pedaling for the desired duration of your cardio workout.,,,,,,,,,,
cardio,dumbbell,https://i.ibb.co/hg4B2nN/6.gif,1201,dumbbell burpee,cardiovascular system,quadriceps,hamstrings,calves,shoulders,triceps,core,Start in a standing position with your feet shoulder-width apart and a dumbbell in each hand.,Lower your body into a squat position, placing the dumbbells on the ground in front of you.,Kick your feet back into a push-up position, keeping your body in a straight line.,Perform a push-up, bending your elbows and lowering your chest towards the ground.,Jump your feet back towards your hands, landing in a squat position.,Stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders.,Press the dumbbells overhead, fully extending your arms.,Lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.,
cardio,body weight,https://i.ibb.co/y5JVY7n/7.gif,3221,half knee bends (male),cardiovascular system,quadriceps,hamstrings,glutes,,,,Stand with your feet shoulder-width apart.,Bend your knees and lower your body down as if you were sitting back into a chair.,Keep your chest up and your weight in your heels.,Pause for a moment at the bottom, then push through your heels to return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
cardio,body weight,https://i.ibb.co/G9Fv2hz/8.gif,3636,high knee against wall,cardiovascular system,quadriceps,hamstrings,glutes,calves,,,Stand facing a wall with your feet hip-width apart.,Place your hands on the wall for support.,Engage your core and lift your right knee up towards your chest, while keeping your left foot on the ground.,Quickly switch legs, bringing your left knee up towards your chest and lowering your right foot back down.,Continue alternating legs in a running motion, bringing your knees up as high as possible.,Maintain a fast pace and keep your upper body stable throughout the exercise.,Repeat for the desired duration or number of repetitions.,,,,,
cardio,body weight,https://i.ibb.co/tx75Rxq/9.gif,501,jack burpee,cardiovascular system,quadriceps,hamstrings,calves,shoulders,triceps,core,Start in a standing position with your feet shoulder-width apart.,Lower your body into a squat position, placing your hands on the ground in front of you.,Kick your feet back, landing in a push-up position.,Perform a push-up, lowering your chest to the ground and then pushing back up.,Jump your feet forward, landing in a squat position.,Jump up explosively, reaching your arms overhead.,Land softly and immediately lower back into the squat position to begin the next repetition.,,,
cardio,body weight,https://i.ibb.co/2sH8DFk/10.gif,3224,jack jump (male),cardiovascular system,quadriceps,calves,,,,,Stand with your feet together and your arms by your sides.,Jump up, spreading your feet apart and raising your arms above your head.,As you land, quickly jump back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
neck,body weight,https://i.ibb.co/HG7m531/1.gif,1403,neck side stretch,levator scapulae,trapezius,sternocleidomastoid,Stand or sit up straight with your shoulders relaxed.,Tilt your head to one side, bringing your ear towards your shoulder.,Hold the stretch for 15-30 seconds.,Repeat on the other side.,Perform 2-4 sets on each side.,,,,,,,,,,,,,
neck,body weight,https://i.ibb.co/T41zn5C/2.gif,716,side push neck stretch,levator scapulae,trapezius,sternocleidomastoid,Stand or sit up straight with your shoulders relaxed.,Tilt your head to the right, bringing your right ear towards your right shoulder.,Place your right hand on the left side of your head and gently apply pressure to increase the stretch.,Hold the stretch for 15-30 seconds.,Repeat on the other side, tilting your head to the left and applying pressure with your left hand.,Repeat the stretch 2-3 times on each side.,,,,,,,,,,,
lower legs,body weight,https://i.ibb.co/n3sSZRy/1.gif,1368,ankle circles,calves,ankle stabilizers,,Sit on the ground with your legs extended in front of you.,Lift one leg off the ground and rotate your ankle in a circular motion.,Perform the desired number of circles in one direction, then switch to the other direction.,Repeat with the other leg.,,,,,,,,,,,,,,
lower legs,assisted,https://i.ibb.co/tcLDz5N/2.gif,1708,assisted lying calves stretch,calves,hamstrings,,Lie on your back with your legs extended.,Bend one knee and place your foot flat on the ground.,Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf.,Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other leg.,,,,,,,,,,,,
lower legs,band,https://i.ibb.co/PWpFfZQ/3.gif,999,band single leg calf raise,calves,ankles,feet,Stand with your feet hip-width apart and place the band around the ball of your left foot.,Hold onto a stable object for balance if needed.,Slowly raise your left heel off the ground, lifting your body weight onto the ball of your foot.,Pause for a moment at the top, then slowly lower your left heel back down to the starting position.,Repeat for the desired number of repetitions, then switch to the right leg.,,,,,,,,,,,
